acc;t
12.632778; 0.771963
12.628287; 0.772964
12.636647; 0.773969
12.656361; 0.774971
12.650641; 0.775979
12.645263; 0.776973
12.651651; 0.777977
12.646005; 0.778971
12.642768; 0.779967
12.647794; 0.780966
12.650909; 0.781966
 12.64777; 0.782962
12.638753; 0.783963
12.630478; 0.784966
12.632802; 0.785966
12.634299; 0.786969
12.626499; 0.787972
  12.6292; 0.788966
12.637925; 0.789965
12.631439; 0.790963
12.628969; 0.791969
12.639945; 0.792967
12.603999; 0.793959
12.598535; 0.794965
12.602307; 0.795964
12.598584; 0.796966
12.606043; 0.797969
12.603707; 0.798976
12.593509; 0.799964
12.601516; 0.800964
12.598632; 0.801962
12.603208; 0.802967
12.596916; 0.803962
12.580537;  0.80496
12.572092; 0.805963
12.575426; 0.806956
12.574088; 0.807963
12.570535;  0.80897
12.575171; 0.809968
12.570121;  0.81096
12.570023; 0.811962
12.574283; 0.812956
 12.56793;  0.81396
12.552598; 0.814958
12.549215; 0.815964
12.546489; 0.816958
12.554192; 0.817963
 12.54481; 0.818964
12.554691; 0.819961
12.557198; 0.820968
12.553973;  0.82196
12.551235; 0.822954
12.561359; 0.823952
12.562832; 0.824954
 12.56647; 0.825961
12.562941; 0.826959
 12.56041; 0.827957
12.564706; 0.828969
12.570668; 0.829962
12.565667; 0.830969
12.566616; 0.831965
12.562698; 0.832963
12.591185; 0.833955
12.606323; 0.834961
12.611482; 0.835951
12.605702; 0.836953
12.605775; 0.837961
12.602368; 0.838967
12.608136; 0.839958
12.606627; 0.840959
12.612407; 0.841963
 12.59548; 0.842963
12.602903; 0.843963
12.623736; 0.844951
 12.61921; 0.845953
12.634786; 0.846955
12.625927; 0.847956
12.627496; 0.848963
 12.62735; 0.849951
12.625184; 0.850957
12.621668;  0.85196
12.639811; 0.852958
12.641564; 0.853963
12.634591; 0.854957
12.628056; 0.855951
12.628616; 0.856957
 12.62729; 0.857956
12.621984; 0.858963
12.628981; 0.860526
12.633922; 0.860962
12.633532;  0.86195
12.633776; 0.862957
12.605897; 0.863956
12.623201; 0.864961
12.616265; 0.865952
12.616934; 0.866951
12.616569; 0.867957
12.617652; 0.868961
12.613247; 0.869951
12.619149; 0.870951
12.614427; 0.871953
12.626559; 0.872954
12.611762; 0.873951
12.599508;  0.87496
 12.60019; 0.875962
12.603244; 0.876956
12.605544; 0.877953
12.605946; 0.878953
12.602417; 0.879956
12.599204;  0.88095
12.610229; 0.881952
 12.60075; 0.882951
12.567578; 0.883958
12.577909; 0.884945
12.576923; 0.885954
12.578018; 0.886964
12.576899; 0.887949
12.584955; 0.888961
12.582947; 0.889952
12.584395; 0.890956
12.581219; 0.891954
12.583324; 0.892951
12.582801; 0.893953
12.569111; 0.894952
12.564937; 0.895958
12.558208; 0.896953
12.564815; 0.897958
 12.55923; 0.898961
12.565886; 0.899946
12.558682; 0.900952
12.568137; 0.901958
12.548619; 0.902946
12.585088; 0.903953
12.575889; 0.904954
12.580428; 0.905952
12.581121;  0.90695
12.579442; 0.907971
12.578761; 0.908962
12.588325; 0.909946
12.586135; 0.910951
12.574781;  0.91195
12.562065; 0.912947
12.598766;  0.91395
12.601541; 0.914955
12.597367; 0.915951
12.606238; 0.916949
12.597087; 0.917968
12.601127; 0.918957
12.601163; 0.919961
12.601906; 0.920952
12.603354; 0.921944
12.620001; 0.922958
12.612395; 0.923949
 12.62718; 0.924951
12.622592; 0.925951
12.625525; 0.926948
12.631293; 0.927956
12.622885; 0.928952
12.624953; 0.929953
12.624637; 0.930957
12.623675; 0.931945
12.622812; 0.932947
12.646723; 0.933949
12.634189; 0.934944
12.629115;  0.93595
12.629906; 0.936946
12.637085;  0.93796
 12.62903; 0.938955
12.635005; 0.939962
12.638862; 0.940951
12.634761; 0.941966
12.632352; 0.942942
12.597902; 0.943944
12.607333; 0.944945
12.604741; 0.945954
12.610193; 0.946946
12.613648;  0.94797
12.609803; 0.948972
12.607296; 0.949967
12.607102; 0.950956
12.610691; 0.951965
12.627618; 0.952965
12.591173; 0.953955
12.610156; 0.954946
12.603183; 0.955952
12.603536; 0.956953
12.607552; 0.957966
12.602258; 0.958961
12.603232; 0.959951
12.597135; 0.960958
12.599545; 0.961959
12.601845; 0.962961
12.609803; 0.963973
12.609779; 0.964955
12.612346; 0.965954
12.612943; 0.966954
12.610545; 0.967963
12.606031; 0.968963
12.613551; 0.969961
12.606603; 0.970961
12.609024; 0.971953
12.607625;  0.97295
12.619039; 0.973958
12.613429; 0.974968
12.609426; 0.975952
12.609073; 0.976949
 12.60485;  0.97797
12.610825; 0.978963
12.611981; 0.979947
12.611653; 0.980962
12.609669; 0.981961
12.610168; 0.982957
 12.57393; 0.983958
12.586828; 0.984962
 12.58734; 0.985973
12.586184;  0.98695
12.582022; 0.987983
12.585575; 0.988971
12.588313; 0.989958
12.588715; 0.990958
12.579783; 0.991952
12.595846; 0.992965
12.578383; 0.993961
12.574149; 0.994953
12.573698; 0.995967
12.581024; 0.996969
12.576595; 0.997984
12.577288; 0.998971
12.581012; 0.999959
12.575317; 1.000965
12.575937; 1.001962
12.581961; 1.002957
12.583555; 1.003961
12.586184; 1.004957
12.583592; 1.005967
12.586086; 1.006969
12.585794; 1.008004
12.584443; 1.008969
12.587522; 1.009957
12.582837; 1.010967
12.588605; 1.011964
 12.56759; 1.012981
12.606262; 1.013961
12.610266; 1.014968
12.606445; 1.015961
12.604765; 1.016964
12.605909; 1.017989
12.609827; 1.018975
12.611774; 1.019977
12.604863; 1.020962
12.605641; 1.021968
12.617202; 1.022961
12.617956; 1.023961
12.624211; 1.024967
12.615887; 1.025974
12.610716; 1.026968
12.621181; 1.027993
12.615425; 1.028991
12.618991; 1.029995
12.615535; 1.030968
12.618333; 1.031969
 12.63251; 1.032975
12.632972; 1.033972
12.635504; 1.034962
12.632826; 1.035974
12.635224; 1.036966
12.633264; 1.037996
12.629772; 1.038983
 12.63262; 1.039987
12.638643; 1.040988
12.634116; 1.041979
12.642379;  1.04298
12.600518; 1.043976
12.600299; 1.044984
12.606603; 1.045979
12.607199; 1.046974
12.597099; 1.047993
12.607674; 1.048988
12.607296; 1.049983
12.604011; 1.050985
12.607333;  1.05199
12.611056; 1.052978
12.579272; 1.053977
12.581219;  1.05497
12.585526;  1.05598
12.588131;  1.05699
12.582168; 1.058005
12.585502; 1.058992
12.587461; 1.059985
12.580428; 1.060998
 12.58695; 1.061991
12.584894;    1.063
12.551284; 1.063983
12.555019; 1.064978
12.558135; 1.065985
12.552914;  1.06698
12.564304; 1.067995
12.549385; 1.068993
12.551308; 1.069986
12.562308; 1.070988
12.562272; 1.071999
12.571532; 1.072995
12.557368; 1.074001
12.564718; 1.074988
12.570425; 1.075986
12.564986; 1.076986
12.564669; 1.077995
 12.57034; 1.078995
12.565326; 1.079982
12.570717; 1.080981
 12.56804; 1.081987
12.558658; 1.082985
12.586232; 1.083999
12.575986; 1.084998
12.584504; 1.085989
12.583275; 1.086988
12.580124; 1.087998
 12.58134; 1.089002
12.581973; 1.089995
12.579369; 1.090988
 12.58027;  1.09199
12.597257; 1.092992
12.613709; 1.093997
12.615449; 1.094996
12.613843; 1.096004
12.607467; 1.096993
12.616995; 1.097995
12.607199; 1.098977
 12.61332; 1.099978
12.618236; 1.100978
 12.61422; 1.101974
12.642038; 1.102973
12.647271; 1.103975
12.649096; 1.104981
12.645689; 1.105987
12.655253; 1.106985
12.654779; 1.107994
12.652686;  1.10899
12.651639; 1.109991
12.640188;  1.11099
12.650252; 1.111978
12.636039; 1.112974
12.652309; 1.113977
12.643048; 1.114976
12.647611; 1.115985
12.649084; 1.116982
12.658283; 1.117997
12.649802; 1.119006
12.648731; 1.119982
12.651408; 1.120984
12.655387; 1.121989
12.651153; 1.122975
12.633484; 1.123977
12.636441; 1.124977
12.638911; 1.125976
12.640468;  1.12698
12.630332;  1.12799
12.643206; 1.129017
12.631451; 1.129995
12.633228;  1.13099
  12.6324; 1.131991
12.616812; 1.132983
12.596259; 1.133988
12.599131; 1.134988
12.594945; 1.135987
12.593095; 1.136994
12.597817; 1.137996
12.601346; 1.139008
12.598352; 1.139996
12.593667; 1.141003
 12.59312; 1.141982
12.573698; 1.142985
12.545662; 1.143982
12.539346; 1.144985
12.539602; 1.145984
12.540794; 1.146987
12.541232; 1.147999
12.538105; 1.149009
12.542607; 1.150008
12.542388; 1.151006
12.539954; 1.151994
12.530925; 1.152992
12.546112;  1.15399
12.548679; 1.154989
12.549908; 1.155984
12.552476; 1.156987
12.550967; 1.157988
12.548546; 1.159002
12.541889; 1.159996
 12.54453; 1.161004
12.551649; 1.161993
12.555068; 1.163009
 12.57135; 1.163994
12.569305;  1.16499
12.566385; 1.165995
12.568758; 1.166984
12.573236; 1.167983
12.574599; 1.169004
12.567006; 1.170002
12.572737; 1.170992
12.577909; 1.171988
12.592743;    1.173
12.618127; 1.174007
 12.61792; 1.174988
12.609827; 1.175985
12.613454; 1.176993
12.613721; 1.177998
 12.61691; 1.179012
12.604412; 1.180002
12.609499; 1.180995
12.621497; 1.181994
12.620938; 1.182989
12.637012;  1.18399
12.632583; 1.185009
 12.64379; 1.185989
12.636757; 1.186985
12.633301; 1.187991
12.631768; 1.189006
12.632254;     1.19
 12.63105; 1.190996
12.629565; 1.191981
12.644533; 1.193002
12.649656; 1.194001
12.647624; 1.195005
12.653209;  1.19601
12.648256; 1.196987
12.650216; 1.197984
12.651226; 1.199019
12.644387; 1.199995
12.646212; 1.200988
12.649924; 1.201992
12.625988; 1.202979
12.615145; 1.203984
12.610667; 1.205003
12.616849; 1.205992
12.613636; 1.207003
 12.61781; 1.207987
12.611142; 1.209012
12.611847; 1.209998
12.608671; 1.210996
12.611519; 1.211991
12.603804; 1.212987
12.588556; 1.213985
12.593448; 1.214989
12.588423; 1.215995
12.588447; 1.216994
12.589786; 1.218003
12.589639; 1.218999
12.592475; 1.219992
12.594337; 1.220981
12.588423; 1.221985
12.589408; 1.222994
12.565241; 1.223986
12.553352; 1.224993
12.555141; 1.225988
12.549689; 1.226993
12.559193; 1.227989
12.558341; 1.229014
12.556979; 1.229993
12.557599; 1.230984
12.552902; 1.231979
12.573358; 1.232987
12.580927;  1.23398
12.585636; 1.234987
 12.57904; 1.235984
12.574769; 1.236998
 12.57724; 1.237992
12.582898; 1.239002
12.577154;     1.24
12.582825; 1.240989
12.580172; 1.241987
12.592523; 1.242985
12.596454; 1.243989
12.591866; 1.244989
12.592219; 1.245984
 12.60064; 1.246982
12.601869; 1.247992
12.592523; 1.248994
12.592426; 1.249996
12.595128; 1.250996
12.584955; 1.251985
12.605252; 1.252983
12.612079; 1.253986
12.617482;  1.25498
12.620341; 1.255994
12.615157; 1.256989
12.623189; 1.257983
12.614926; 1.259009
12.615948; 1.260001
12.609036; 1.260981
